"combcolour","red","green","blue","hex","value"
"black_1:black_outline",46.5,49.5,65.5,"#2E3141",1
"blue_1:bright_cobalt_blue",49,71.5,138,"#31478A",1
"blue_2:lilac_blue",138,157,199,"#8A9DC7",1
"blue_3:dark_blue",45.5,52.5,75.5,"#2D344B",1
"blue_4:pale_blue",107,145,174,"#6B91AE",1
"blue_5:blue_green",116,152,140,"#74988C",1
"green_1:sage_green",123,129,106,"#7B816A",1
"green_2:emerald_green",33.5,121,102.5,"#217966",1
"green_3:dark_green",45,68,52,"#2D4434",1
"green_5:pale_green",170,205,147,"#AACD93",1
"purple_1:dark_purple",106,106,142,"#6A6A8E",1
"purple_2:medium_purple",143,147,172,"#8F93AC",1
"purple_3:pale_purple",178,165,175,"#B2A5AF",1
"red_1:thin_orange_red",148,99,69,"#946345",1
"red_2:bright_red",186,78.5,65,"#BA4E41",1
"red_3:dark_brick_red",117,66,34,"#754222",1
"turquoise_1:clear turquoise",124,179,211,"#7CB3D3",1
"turquoise_2:greenish_turquoise",82,136,127,"#52887F",1
